MassiveID	filename	Study_SubjectIdentifierAsRecorded	Study_UniqueSubjectID	ATTRIBUTE_Subject_Sex	Subject_AgeInYears	ATTRIBUTE_Subject_LifeStage	Subject_Country	ATTRIBUTE_Subject_HumanPopulationDensity	Analysis_SampleCollectionMethod	Analysis_SampleExtractionMethod	Analysis_InternalStandardsUsed	ATTRIBUTE_Analysis_MassSpectrometer	Analysis_IonizationSourceAndPolarity	Analysis_ChromatographyAndPhase	Analysis_YearOfAnalysis	Study_DayAsReported	Study_DayRelative	Study_TimepointMin	Subject_Health	Study_SampleTypeasRecorded	Study_SampleTermsofPosition	ATTRIBUTE_Curated_SampleType	ATTRIBUTE_Curated_SampleType_Sub1	ATTRIBUTE_Curated_BodyPartOntologyName	ATTRIBUTE_Curated_BodyPartOntologyIndex	Curated_DiseaseCommonName	ATTRIBUTE_Curated_DiseaseOntologyIndex	Curated_Comorbidity_ListDOIDs	ATTRIBUTE_kingdom	ATTRIBUTE_phylum	ATTRIBUTE_class	ATTRIBUTE_order	ATTRIBUTE_family	ATTRIBUTE_genus	ATTRIBUTE_species	ATTRIBUTE_simplified_class
MSV000083351	BAX15_x6_BB4_01_14717.mzXML	BAX15	MSV000083351_BAX15	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	columbiformes	columbidae	ptilinopus	ptilinopus cinctus	birds
MSV000083351	BAX21_x6_BB10_01_14723.mzXML	BAX21	MSV000083351_BAX21	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	columbiformes	columbidae	ducula	ducula rufigaster	birds
MSV000083351	BAX73_x6_BG7_01_14782.mzXML	BAX73	MSV000083351_BAX73	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_actinopterygii_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	actinopterygii	perciformes	pomacanthidae	pomacanthus	pomachanthus navarchus	fish
MSV000083351	BAX50_x6_BE6_01_14757.mzXML	BAX50	MSV000083351_BAX50	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_mammalia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	mammalia	primates	hominidae	pongo	pongo pygmaeus	mammal
MSV000083351	BAX16_x6_BB5_01_14718.mzXML	BAX16	MSV000083351_BAX16	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_chondricthyes_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	chondricthyes	orectolobiformes	hemiscylliidae	hemiscyllium	hemiscyllium ocellatum	fish
MSV000083351	BAX36_x6_BD3_01_14740.mzXML	BAX36	MSV000083351_BAX36	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_reptilia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	reptilia	squamata	elapidae	enhydrina	enhydrina schistosa	reptile
MSV000083351	BAX29_x6_BC7_01_14732.mzXML	BAX29	MSV000083351_BAX29	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	columbiformes	columbidae	treron vieillot	treron floris	birds
MSV000083351	BAX56_x6_BF1_01_14764.mzXML	BAX56	MSV000083351_BAX56	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_amphibia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	amphibia	anura	bufonidae	incilius	incilius periglenes	amphibian
MSV000083351	BAX39_x6_BD6_01_14743.mzXML	BAX39	MSV000083351_BAX39	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_reptilia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	reptilia	squamata	viperidae	bitis	bitis atropos	reptile
MSV000083351	BAX30_x6_BC8_01_14733.mzXML	BAX30	MSV000083351_BAX30	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	columbiformes	columbidae	ducula	ducula bicolor	birds
MSV000083351	bax10_x6_ba10_01_14711.mzXML	BAX10	MSV000083351_BAX10	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	coraciiformes	alcedinidae	halcyon	halcyon smyrnensis	birds
